State,Year,CO2,CH4,N2O,Fluorinated GHG
Alabama,2012,84138381,701702,602778,264437
Alabama,2013,83297945,594388,451420,274194
Alabama,2014,84847355,634009,525399,312201
Alabama,2015,82143007,611595,462661,263031
Alabama,2016,75103394,550119,528136,302584
Alabama,2017,70270491,588407,435502,421790
Alabama,2018,72554349,523364,347670,466297
Alaska,2012,16965771,266399,16286,/
Alaska,2013,16570359,240326,15666,/
Alaska,2014,16046278,226396,15204,/
Alaska,2015,16463951,195945,15831,/
Alaska,2016,12975340,158070,12957,/
Alaska,2017,13125628,152170,13108,/
Alaska,2018,12681885,154218,13279,/
Arizona,2012,56327014,242637,600520,/
Arizona,2013,58689116,262764,609807,/
Arizona,2014,58028639,275960,643834,/
Arizona,2015,54998713,284668,612387,/
Arizona,2016,49354520,220458,522772,/
Arizona,2017,48991573,232314,392159,/
Arizona,2018,52318221,178678,711814,/
Arkansas,2012,42028598,400720,911315,57764
Arkansas,2013,42696466,360102,545819,61106
Arkansas,2014,42403787,311953,797326,59627
Arkansas,2015,33428083,225930,606758,69860
Arkansas,2016,35107458,222074,172057,61800
Arkansas,2017,36933474,201795,420691,70134
Arkansas,2018,42831669,237709,473010,86519
California,2012,98942946,1978857,171905,/
California,2013,99544646,1908932,167889,/
California,2014,101318500,1909938,131883,/
California,2015,98115500,1943230,131883,/
California,2016,84968517,1882411,107285,/
California,2017,80834357,1880144,95496,/
California,2018,82223603,1871614,96017,/
Colorado,2012,48356965,673170,190613,/
Colorado,2013,48047597,578572,187682,/
Colorado,2014,47508140,536069,182885,/
Colorado,2015,46894374,586289,180444,/
Colorado,2016,43745322,427044,168539,/
Colorado,2017,42867733,403204,164731,/
Colorado,2018,41841263,333773,148311,/
Connecticut,2012,7443240,271298,7556,/
Connecticut,2013,7459233,259222,7611,/
Connecticut,2014,7351150,241192,8429,/
Connecticut,2015,8141859,246803,8172,/
Connecticut,2016,7648905,238334,5390,/
Connecticut,2017,6882638,233869,5143,/
Connecticut,2018,8810510,237234,6937,/
Delaware,2012,8868023,315393,19296,/
Delaware,2013,7932200,320105,16742,/
Delaware,2014,7798501,374321,13222,/
Delaware,2015,7547438,502657,13336,/
Delaware,2016,7832062,496746,14045,/
Delaware,2017,6560049,488161,10194,/
Delaware,2018,6578229,439430,11025,/
District Of Columbia,2012,280237,159,200,/
District Of Columbia,2013,263970,128,147,/
District Of Columbia,2014,287478,157,220,/
District Of Columbia,2015,245473,138,190,/
District Of Columbia,2016,238593,124,165,/
District Of Columbia,2017,240768,122,151,/
District Of Columbia,2018,271881,147,208,/
Florida,2012,120645361,6901194,5739976,/
Florida,2013,118084663,6606354,4501029,/
Florida,2014,123269319,6671539,4994554,/
Florida,2015,122278676,6564558,4080300,/
Florida,2016,119934078,6872800,7524030,/
Florida,2017,117113291,7406817,7748239,/
Florida,2018,114676444,7754614,10807191,/
Georgia,2012,68712277,5475353,974012,/
Georgia,2013,66860223,5792625,943831,/
Georgia,2014,72214155,5910259,891464,/
Georgia,2015,67822919,5762788,806210,/
Georgia,2016,68832714,5629746,955746,/
Georgia,2017,62295847,5561195,835107,/
Georgia,2018,62615237,6035282,646851,/
Hawaii,2012,9002385,449058,34707,/
Hawaii,2013,8433448,402093,36760,/
Hawaii,2014,8618319,389865,34955,/
Hawaii,2015,8476439,389086,34235,/
Hawaii,2016,8307413,328296,34096,/
Hawaii,2017,7831066,329809,29164,/
Hawaii,2018,7853288,356888,31101,/
Idaho,2012,3224664,439437,28062,52716
Idaho,2013,4121630,595299,13106,41443
Idaho,2014,3598793,568566,11635,38633
Idaho,2015,4189643,657680,11526,53311
Idaho,2016,3905882,613376,10402,67836
Idaho,2017,3790158,595248,9578,45753
Idaho,2018,3762251,563705,9705,50669
Illinois,2012,120217587,7788190,666095,1766538
Illinois,2013,122960612,8092836,654057,2479664
Illinois,2014,121941962,7980578,529376,1465387
Illinois,2015,109192848,9270514,481262,1092957
Illinois,2016,96390512,9130575,407616,868370
Illinois,2017,93157350,7332914,392019,946365
Illinois,2018,97792906,6476368,506608,935118
Indiana ,2012,148643197,6469836,651622,200140
Indiana ,2013,149530450,6500050,508009,203444
Indiana ,2014,153565562,6450999,523286,303211
Indiana ,2015,135228766,6595353,435616,289834
Indiana ,2016,132281876,5929805,409760,253087
Indiana ,2017,131660934,5848882,396793,180607
Indiana ,2018,139107023,6020561,422149,281807
Iowa,2012,53709131,1766165,1171230,/
Iowa,2013,51815222,1626488,1008033,/
Iowa,2014,52419737,1520037,1034984,/
Iowa,2015,47855064,1566947,929735,/
Iowa,2016,43738098,1577633,913086,/
Iowa,2017,47829366,1698806,867947,/
Iowa,2018,52996224,1695519,911299,/
Kansas,2012,42097928,2642766,430732,/
Kansas,2013,43240294,2486994,738229,/
Kansas,2014,42493127,2525914,780152,/
Kansas,2015,38392580,2050084,676600,/
Kansas,2016,36813550,1854976,844480,/
Kansas,2017,33081451,1562528,849907,/
Kansas,2018,34535262,1807754,837423,/
Kentucky,2012,98873952,4503727,527961,7121559
Kentucky,2013,97644549,4133816,505876,7686202
Kentucky,2014,98031780,4632601,457360,7387400
Kentucky,2015,89054690,4307180,411408,5947142
Kentucky,2016,82977455,3761758,374323,4249193
Kentucky,2017,73491073,3598292,320824,6472816
Kentucky,2018,77458006,3711271,330434,4689015
Louisiana,2012,129722804,5487530,2397855,3131129
Louisiana,2013,128131425,5463144,2532078,883796
Louisiana,2014,128757921,5601166,2318439,776088
Louisiana,2015,128910401,5340578,3124836,738352
Louisiana,2016,130607503,5431698,2093524,417851
Louisiana,2017,132799235,5447852,1560107,458580
Louisiana,2018,136071325,6293949,1851399,568499
Massachusetts,2012,14983432,1196537,59724,97554
Massachusetts,2013,15563630,1083970,69454,83111
Massachusetts,2014,13813711,1009696,65657,108905
Massachusetts,2015,14238573,1002330,60277,66553
Massachusetts,2016,13527154,949983,57353,60075
Massachusetts,2017,12969337,902078,52995,64896
Massachusetts,2018,10663341,877780,46859,62332
Maine,2012,4482531,442262,121773,143131
Maine,2013,4032788,337144,62118,138186
Maine,2014,4194246,338081,56715,137558
Maine,2015,3585481,305008,42486,146032
Maine,2016,3232391,280196,38312,134254
Maine,2017,2630824,267126,39733,134250
Maine,2018,2765664,257792,39141,128655
Maryland,2012,23601775,1402719,121815,/
Maryland,2013,21784139,1330646,109912,/
Maryland,2014,24082911,1443827,119116,/
Maryland,2015,21436216,1249281,98529,/
Maryland,2016,21310961,1282338,99831,/
Maryland,2017,16451006,1317295,72071,/
Maryland,2018,21167143,1264167,80066,/
Michigan,2012,86702561,5336041,366613,139646
Michigan,2013,86550707,5586197,353749,45773
Michigan,2014,82699993,5421273,330008,74147
Michigan,2015,84479047,5574449,332773,68719
Michigan,2016,78025779,5053373,271911,44004
Michigan,2017,77149826,5059254,259647,77812
Michigan,2018,80126355,5066172,279857,30342
Mississippi,2012,32885297,2264700,1519285,/
Mississippi,2013,32335211,2238509,1334771,/
Mississippi,2014,34415847,2202670,1200217,/
Mississippi,2015,35332765,2140828,1443999,/
Mississippi,2016,36295814,2181377,1432988,/
Mississippi,2017,34324395,2271937,1589113,/
Mississippi,2018,36716338,2386394,1236904,/
Missouri,2012,86003625,1839248,758133,296442
Missouri,2013,87289690,1676023,739760,298193
Missouri,2014,84354810,1662850,824138,326229
Missouri,2015,77714158,1640909,887448,427188
Missouri,2016,72888768,1641938,794518,58260
Missouri,2017,79109488,1656937,730627,5212
Missouri,2018,76718134,1646436,580773,185827
Montana,2012,20641088,456949,87893,/
Montana,2013,21439769,367015,91817,/
Montana,2014,22054585,406595,96523,/
Montana,2015,22596264,453092,97662,/
Montana,2016,20661798,356115,89273,/
Montana,2017,19707625,314809,84666,/
Montana,2018,19396913,344335,82483,/
Montana,2012,20641088,456949,87893,NA
Montana,2013,21439769,367015,91817,NA
Montana,2014,22054585,406595,96523,NA
Montana,2015,22596264,453092,97662,NA
Montana,2016,20661798,356115,89273,NA
Montana,2017,19707625,314809,84666,NA
Montana,2018,19396913,344335,82483,NA
Nebraska,2012,31018718,1114917,134984,NA
Nebraska,2013,32528945,1277553,144247,NA
Nebraska,2014,31062917,1158105,135190,NA
Nebraska,2015,29908153,1294279,130436,NA
Nebraska,2016,27619285,1199519,117471,NA
Nebraska,2017,27892764,1108669,116528,NA
Nebraska,2018,30233758,1234688,125940,NA
Nevada,2012,17826454,496772,32111,NA
Nevada,2013,18775510,463918,37835,NA
Nevada,2014,19236492,538342,43309,NA
Nevada,2015,17760630,471791,25524,NA
Nevada,2016,17054984,499520,22532,NA
Nevada,2017,15939566,366031,20297,NA
Nevada,2018,16649311,432306,23034,NA
New Hampshire,2012,4505405,284394,21371,NA
New Hampshire,2013,3607972,307094,21202,NA
New Hampshire,2014,3502545,276135,17655,NA
New Hampshire,2015,3719015,284444,15802,NA
New Hampshire,2016,2589861,297830,11081,NA
New Hampshire,2017,2066720,316978,10193,NA
New Hampshire,2018,2365246,346858,11679,NA
New Jersey,2012,21814712,2652019,60020,839587
New Jersey,2013,20982998,2583661,57899,980614
New Jersey,2014,23815406,2506996,63543,732603
New Jersey,2015,24981706,2459576,60197,632763
New Jersey,2016,26700463,2292652,59419,35575
New Jersey,2017,23613618,2112771,56798,79242
New Jersey,2018,23525530,1951383,54942,40939
New Mexico,2012,37529212,425206,156159,155136
New Mexico,2013,37890759,382803,148671,97960
New Mexico,2014,34003709,331084,131842,108686
New Mexico,2015,33763121,406460,129307,90305
New Mexico,2016,29642726,320696,110361,44421
New Mexico,2017,29187918,294671,115072,37886
New Mexico,2018,26092754,345325,88219,36895
New York,2012,37142402,1587567,67802,-
New York,2013,35461423,1501297,66313,-
New York,2014,36008485,1515629,137351,-
New York,2015,35213386,1459690,55394,-
New York,2016,32511695,1362805,48874,-
New York,2017,27033104,1351052,41362,-
New York,2018,29836819,1267307,42640,-
North Carolina,2012,59757499,435931,374837,-
North Carolina,2013,58214745,351815,270236,-
North Carolina,2014,60095259,371892,280295,-
North Carolina,2015,55864303,339930,239811,-
North Carolina,2016,55212348,337740,230756,-
North Carolina,2017,50936585,319458,216204,-
North Carolina,2018,52056727,310039,205281,-
North Dakota,2012,36414357,174008,158737,-
North Dakota,2013,35334547,213456,151714,-
North Dakota,2014,34796533,144686,152622,-
North Dakota,2015,37533586,188692,156554,-
North Dakota,2016,36983202,159920,149731,-
North Dakota,2017,36772887,299098,148798,-
North Dakota,2018,39041450,169023,153786,-
Ohio,2012,108808862,1227811,841533,-
Ohio,2013,113331166,1198949,850087,-
Ohio,2014,111883495,1299228,898645,-
Ohio,2015,97336368,1054992,617872,-
Ohio,2016,93873298,987543,668018,-
Ohio,2017,94212502,991191,666335,-
Ohio,2018,90884528,924515,643921,-
Oklahoma,2012,65777100,711635,1711635,NA
Oklahoma,2013,63332586,1037873,1792028,NA
Oklahoma,2014,61707675,851278,1931443,NA
Oklahoma,2015,58746925,777622,2007579,NA
Oklahoma,2016,54332966,776781,1844096,NA
Oklahoma,2017,49255301,761427,2155494,NA
Oklahoma,2018,52124663,806791,2146966,NA
Oregon,2012,8825709,108590,58950,NA
Oregon,2013,11063257,94276,35053,NA
Oregon,2014,10040937,90292,31354,NA
Oregon,2015,10641403,82552,23947,NA
Oregon,2016,9811265,77894,17868,NA
Oregon,2017,9730527,117317,17501,NA
Oregon,2018,10574390,80124,17235,NA
Pennsylvania,2012,121277456,1654045,514169,407457
Pennsylvania,2013,121724156,1655928,490437,294599
Pennsylvania,2014,115420548,1676873,455459,277990
Pennsylvania,2015,106500320,1588828,377547,308212
Pennsylvania,2016,98685459,1504289,324819,274594
Pennsylvania,2017,93276708,1463941,292633,453565
Pennsylvania,2018,90824865,1420164,276728,170441
Rhode Island,2012,3427525,180508,1891,NA
Rhode Island,2013,2554179,174142,1484,NA
Rhode Island,2014,2555622,169250,1485,NA
Rhode Island,2015,2829518,163071,1660,NA
Rhode Island,2016,2601338,155431,1461,NA
Rhode Island,2017,2966472,153355,1693,NA
Rhode Island,2018,3258328,147446,1890,NA
South Carolina,2012,38351150,223743,297182,NA
South Carolina,2013,32952572,139528,172875,NA
South Carolina,2014,37146631,157362,197086,NA
South Carolina,2015,34246335,137345,172357,NA
South Carolina,2016,32740994,137979,161003,NA
South Carolina,2017,29349588,121817,142390,NA
South Carolina,2018,33186542,124580,149179,NA
South Dakota,2012,4011527,9709,17381,NA
South Dakota,2013,4120759,9882,17064,NA
South Dakota,2014,3973438,9359,16160,NA
South Dakota,2015,2887027,5743,9870,NA
South Dakota,2016,3584618,7949,13678,NA
South Dakota,2017,3510990,7623,13681,NA
South Dakota,2018,3814483,8401,14443,NA
Tennessee,2012,47676941,378181,267153,NA
Tennessee,2013,44278692,367638,219159,NA
Tennessee,2014,46922528,397387,232696,NA
Tennessee,2015,42745111,380573,204303,NA
Tennessee,2016,44506290,440109,211198,NA
Tennessee,2017,41691637,296353,191981,NA
Tennessee,2018,35850746,239824,155595,NA
Texas,2012,368923156,4661489,2638464,29501
Texas,2013,382325465,4296603,2476208,26263
Texas,2014,382047256,4543218,3646756,13611
Texas,2015,371615241,4029956,3135715,10538
Texas,2016,361882662,4527455,2362572,13776
Texas,2017,365430543,3877930,2254594,10524
Texas,2018,364771258,3863422,2062643,11048
Utah,2012,36532737,468041,235496,NA
Utah,2013,40024697,246932,250342,NA
Utah,2014,39846411,246881,258140,NA
Utah,2015,38444136,221702,222746,NA
Utah,2016,32625912,210917,178204,NA
Utah,2017,32547152,204635,141149,NA
Utah,2018,33600025,208819,140453,NA
Vermont,2012,36510,5702,4668,NA
Vermont,2013,36050,61,124,NA
Vermont,2014,36312,2958,76,NA
Vermont,2015,39289,3684,76,NA
Vermont,2016,37718,3806,21,NA
Vermont,2017,36297,17,21,NA
Vermont,2018,37333,18,22,NA
Virginia,2012,31818558,437466,174043,NA
Virginia,2013,36883768,388972,156761,NA
Virginia,2014,36137665,374363,158498,NA
Virginia,2015,36823988,365497,145363,NA
Virginia,2016,39374011,424940,138959,NA
Virginia,2017,35016710,361724,101226,NA
Virginia,2018,36056866,336713,95428,NA
Wshington,2012,14829018,212026,273728,NA
Wshington,2013,20900934,191381,231808,NA
Wshington,2014,20505107,169479,209416,NA
Wshington,2015,19517277,149557,218530,NA
Wshington,2016,18577850,165270,210717,NA
Wshington,2017,18947235,208060,206188,NA
Wshington,2018,18914420,166547,180710,NA
West Virginia,2012,69701838,538585,342031,682861
West Virginia,2013,71488664,519411,348404,542938
West Virginia,2014,76764371,532276,360053,531642
West Virginia,2015,69764714,496408,333674,565509
West Virginia,2016,72473502,464759,349428,562563
West Virginia,2017,69750990,445275,335471,243451
West Virginia,2018,63876271,442987,306650,580160
Wisconsin,2012,45751387,230654,244308,NA
Wisconsin,2013,51865201,181648,257394,NA
Wisconsin,2014,48386188,213334,240457,NA
Wisconsin,2015,50010112,184043,234648,NA
Wisconsin,2016,46462015,188750,208953,NA
Wisconsin,2017,48623201,199869,222482,NA
Wisconsin,2018,46635639,205928,206153,NA
Wyoming,2012,65830664,450255,344188,NA
Wyoming,2013,66049233,414683,437468,NA
Wyoming,2014,61484914,351584,382337,NA
Wyoming,2015,61879591,285047,387196,NA
Wyoming,2016,56589383,321505,289313,NA
Wyoming,2017,59290945,297810,316709,NA
Wyoming,2018,58332655,279305,254893,NA