REGION,STATE,Region_Name
3,AL,South Region
4,AK,West Region
4,AZ,West Region
3,AR,South Region
4,CA,West Region
4,CO,West Region
1,CT,Northeast Region
3,DE,South Region
3,DC,South Region
3,FL,South Region
3,GA,South Region
4,HI,West Region
4,ID,West Region
2,IL,Midwest Region
2,IN,Midwest Region
2,IA,Midwest Region
2,KS,Midwest Region
3,KY,South Region
3,LA,South Region
1,ME,Northeast Region
3,MD,South Region
1,MA,Northeast Region
2,MI,Midwest Region
2,MN,Midwest Region
3,MS,South Region
2,MO,Midwest Region
4,MT,West Region
2,NE,Midwest Region
4,NV,West Region
1,NH,Northeast Region
1,NJ,Northeast Region
4,NM,West Region
1,NY,Northeast Region
3,NC,South Region
2,ND,Midwest Region
2,OH,Midwest Region
3,OK,South Region
4,OR,West Region
1,PA,Northeast Region
1,RI,Northeast Region
3,SC,South Region
2,SD,Midwest Region
3,TN,South Region
3,TX,South Region
4,UT,West Region
1,VT,Northeast Region
3,VA,South Region
4,WA,West Region
3,WV,South Region
2,WI,Midwest Region
4,WY,West Region